Id,Label,timeset,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,weighted degree,pageranks,modularity_class,LR_quintile,leaning,audience_mean_lr,audience_mean_antielite,audience_mean_eu,audience_mean_nationalism
80,jeuneafrique.com,,5,0,5,0,0.0,0.0,0.0,15,0,15,0.005529,0,3,centre-right,6.78040881556358,7.986730527332587,5.393989147931913,5.668071341659147
81,le1hebdo.fr,,1,0,1,0,0.0,0.0,0.0,5,0,5,0.0033,1,1,centre-left,5.49999495008389,6.531010251480406,6.079861126876978,3.932832300842067
82,lyonmag.com,,2,5,7,5,0.4375,0.48022,4.9e-05,3,10,13,0.00342,5,3,centre-right,7.422749799472968,7.445046604266111,4.2858156987938925,7.026928805893643
83,lci.fr,,10,0,10,0,0.0,0.0,0.0,18,0,18,0.005821,0,2,centre,6.622225961285959,7.262087513664405,4.917829109545804,5.7825198237447
84,challenges.fr,,9,16,25,4,0.497268,0.56044,0.000902,38,43,81,0.005391,9,2,centre,6.768469673356891,6.622875295027537,5.995686360966383,4.877335275892772
85,tvlibertes.com,,2,0,2,0,0.0,0.0,0.0,7,0,7,0.003574,8,4,right,9.387890361676224,8.588202322500292,2.611078019533237,9.540557950218636
86,polemia.com,,2,18,20,4,0.526012,0.584249,0.032756,7,26,33,0.003295,8,4,right,9.758287510686005,8.761153459986872,2.193255637175933,9.357938239112288
87,bastamag.net,,4,0,4,0,0.0,0.0,0.0,9,0,9,0.004361,1,0,left,2.880666291610773,7.876489387779153,4.37385765385477,3.137387239610238
88,laprovence.com,,2,5,7,4,0.433333,0.470696,0.000374,4,11,15,0.003357,4,2,centre,6.331885008515519,7.365961123147986,4.695359351678034,5.869216214271948
89,presseocean.fr,,2,1,3,5,0.33829,0.362271,0.0,44,4,48,0.008299,4,0,left,5.239154504925849,5.757517361923601,5.784212816172868,4.050656458903292
90,allodocteurs.fr,,3,2,5,5,0.371429,0.403297,7.6e-05,4,6,10,0.003685,5,1,centre-left,5.913112446655521,6.326141337719922,5.864490676197215,4.5480753671964775
91,corsematin.com,,2,0,2,0,0.0,0.0,0.0,3,0,3,0.003537,4,3,centre-right,7.226581215645729,7.140680985348651,5.090213312875821,6.476220090374964
93,arretsurimages.net,,3,0,3,0,0.0,0.0,0.0,4,0,4,0.003642,0,0,left,4.356407198953439,7.892219740450128,4.853385321222011,3.6596490148102094
94,corsenetinfos.corsica,,0,1,1,5,0.384937,0.413406,0.0,0,1,1,0.002948,0,3,centre-right,7.331873904349063,7.052264014838733,5.267886864789464,6.180620093324497
95,revolutionpermanente.fr,,1,18,19,5,0.486631,0.5663,0.000634,1,25,26,0.0031,2,0,left,2.8790950148470054,8.878947897151164,3.2372385730194835,3.831634022745939
96,adoxa.info,,1,0,1,0,0.0,0.0,0.0,1,0,1,0.003056,8,4,right,9.23658274059946,8.524892045840726,2.7602599483032133,9.342464353702573
97,aoc.media,,0,2,2,5,0.414414,0.448732,0.0,0,3,3,0.002948,0,0,left,3.881766540380169,6.813675410774857,5.416061670895715,3.0906199854860548
98,nouvelordremondial.cc,,0,5,5,4,0.377049,0.413949,0.0,0,5,5,0.002948,8,4,right,8.32147458685575,8.928274253641646,3.0184326397070533,8.48656120313311
99,damocles.co,,2,0,2,0,0.0,0.0,0.0,3,0,3,0.003184,8,4,right,9.39359559750986,8.496444287536915,3.0437791944838644,9.550187086587792
101,citoyens-et-francais.fr,,0,1,1,5,0.368,0.392029,0.0,0,1,1,0.002948,0,4,right,9.36025126436432,8.378635445464445,2.796124774381373,9.64596405552247
102,les-identitaires.com,,2,0,2,0,0.0,0.0,0.0,2,0,2,0.003077,8,4,right,8.566891026668808,7.4525973576501245,3.223814001379587,8.246740603796175
